id,text
1021284409545289728,"RT @SoyLuisitoRey: 🚨 Coño! Urgente Rt! Para que suban los bloopers de la serie! @NetflixLAT gracias coño!
#LuisMigueLaSerie https://t.co/w7…"
1012321617995632640,"RT @InvictosSomos: 9 atajadas ante Alemania, 5 atajadas ante Corea del Sur y 3 atajadas ante Suecia. El portero con más atajadas (17) en lo…"
813412567251030017,"Having a blast playing Craps Master 3D by @AreaSixtyOne, come see if you can top my score. #crapsmaster3d https://t.co/L3ADD5fNXt"
483761662273392640,Join the FreeAppLife community NOW to earn Paid iOS apps &amp; Gift Cards for Free! Score points at: https://t.co/RJymNoNQpS  #FAL #FreeAppLife
483761660813783040,RT @FreeAppLife: Join the FreeAppLife community NOW to earn Paid iOS apps &amp; Gift Cards for Free! Score points at: http://t.co/bdy64ic4KZ #F…
313998600134881280,RT @karendi28: Cancun!!! @abraham1225
304238280268988417,RT @NancyMustri: Felicidades!!!! Todo lo mejor!!! @abraham1225
304004197966290944,RT @NancyMustri: Sabes que cuentas con migo siempre!!!! Tq!!! @abraham1225
304004173119254528,RT @karendi28: #happybirthdayguindi tq!!!! @abraham1225
263045103919194112,Discover great free apps &amp; get rewarded with iTunes gift cards and more! http://t.co/sOB7aZ3A vía @freemyapps
