id,text
1074898380751544320,RT @MuscatineFFA: Here are some upcoming important dates to remember! https://t.co/1fBbxsnA0V
1068179416193400832,RT @gminder1152: Let's get this gingerbread
1050797726651359234,@ktlynnnn_ so excited!!
1050518478111862786,happy birthday @awstern12 ! thanks for always being there for me and always being the one to make me laugh love you lots and hope your day was extra great ps sorry I ran into that locker ❤️🎂 https://t.co/z2NlKLV1E8
1046525748033585153,RT @audreywilliaams: it’s hard to wait around for something you know might not ever happen but it’s even harder to give up when it’s everyt…
1033876054270717952,dm if you want one!! https://t.co/rDrX7VqXz4
1026211285812342785,hmu if you wanna buy an mvf ticket
1024119012018409472,"Very sad and disappointing to see someone talk so poorly about organizations that have given me some of the best experiences, and friendships that will last a life time. https://t.co/KrkhkAJrQi"
1023374909022515200,RT @amymcollum: I know she isn't your daughter and some of you will glance and move on....PLEASE...today don't do that. PLEASE....today mak…
1022639191283253249,@ktlynnnn_ thankful I met you through it 😊 https://t.co/rpt6b4YZJn
