id,text
1075051816088416256,Check out Aero Precision's Monthly Rifle Giveaway! https://t.co/C5fyXh4Iph
1075046774249795585,Check out this awesome #giveaway from @StudentoftheGun! -- https://t.co/UaOsHLbI16 https://t.co/FGjBxoHULp
1074867712940109825,Check out Aero Precision's Monthly Rifle Giveaway! https://t.co/ZuI6VhVzVO
1074863808265342976,Check out this awesome #giveaway from @StudentoftheGun! -- https://t.co/UaOsHKU6Cw https://t.co/7KwVeLKjR5
1074383697200046080,Check out Aero Precision's Monthly Rifle Giveaway! https://t.co/xlk90lJRbp
1074364053512830976,Check out this awesome #giveaway from @StudentoftheGun! -- https://t.co/UaOsHKU6Cw https://t.co/T1ODMs65m8
1074023040516730880,Check out Aero Precision's Monthly Rifle Giveaway! https://t.co/qxII6NXLUB
1073993607462379520,Check out this awesome #giveaway from @StudentoftheGun! -- https://t.co/UaOsHKU6Cw https://t.co/tc5Y4vfsaN
1073766873508962305,Check out this awesome #giveaway from @StudentoftheGun! -- https://t.co/UaOsHKU6Cw https://t.co/eBPVG9Ofj5
1073697669489414144,"ButcherBox is giving away the ultimate box of meat! Over 25+ lbs of 100% grass-fed beef, heritage breed pork, and organic free-range chicken can be yours. Enter the giveaway here! #butcherbox https://t.co/xGYTdMXIAr"
