id,text
1067881021226590210,Excelente!!...es posible con los que saben https://t.co/bts6xPhmI0
1059769852104269824,"RT @Albitamix: Para aquellos que se estén iniciando, voy a dar acceso a un #webinar de Estructuras de precio, soportes, resistencias... (bá…"
1055641022334672896,@KEKKAI_TRADER Es asi...cuanto tiempo cuesta entrar en.zona?
1012320325101674496,RT @Albitamix: @cjarajo_tw2010 debes hacer retweet del twit!!
1012309918098051074,@Albitamix Excelente!! Quiero ver el video gracias
995806813420388353,@rodrigobarreir Yaaaa financouch
995669484039036928,@rodrigobarreir Wena grcias....como has estado...que estas haciendo
995453861178544129,"@rodrigobarreir Rodrigo y cual es la pagina
Graccias"
993576186331717633,"@AtoCamposn Cristian
proinver2008@gmail.com"
946910234450300928,@KEKKAI_TRADER Felicidades !!
