id,text
1075076259292557312,"@FLOTUS @realDonaldTrump @POTUS Dear Ms. Melanija, your husband, who is the most powerful man in the world, should contribute to the rule of law and democracy in Bosnia and Herzegovina to a greater extent."
1074964733449641986,"Uličarenje..»

Činjenični SDS-ov doprinos borbi protiv korupcije i kriminala. Pošto su znali i htjeli spriječiti milionske (?) u Javnim nabavkama BiH, za direktora Kancelarije za žalbe u Banjoj Luci postavili Geometra - Geodezistu! (Sada ti pale i žare u DNS, prenose licencu)!"
1074955291714830336,"@realDonaldTrump President Tramp, you are leading the best economic policy of all previous presidents. Greetings from Bosnia and Herzegovina."
1074769493392535555,"@zigba992 I Zlato i Srebro! Upitno je ukazivati, jer izgleda da je malom broju ljudi bitno. Kao gimnazijalac i student čitao sam stalno Bibliju, a u njoj doslovno piše da nema gore: ""gledao, a ne vidio/ slušao, a ne čuo""! Kada sam to čitao nisam vjerovao da može biti stvarnost!"
1074601812093739008,"Onako..»

Siromašnijeg naroda, sa jedne strane, a da voli da mu rukovodstvo što može maksimalnije luksuznije živi, sa druge strane, ne postoji na ovoj planeti. Neka neko demantuje da nismo u tome svjetski prvaci."
1074249321242091520,"Odluke Republike su: odluke Vlade, parlamenta i drugih institucija Srpske » Odluke Vlade i drugih institucija su: odluke stranaka » odluke stranaka su: odluke prvaka stranaka » odluke prvaka stranaka: su njihovi lični stavovi, karakteri i osobine » ... ???
https://t.co/88WJIRj0bP"
1073847462404784129,"Uličarenje..»

Potpredsjednik Sds i generalni sekretar Sds ispadoše ""gabaritniji"" i djelotvorniji za Dns nego za Sds! Jer, ranije se radi njih sasuo samo banjalučki Sds, dok se trenutno radi njih raspada cijeli Dns!"
1073843743009239040,"OvoJutarnje razmišljanje..»

O kvalitetu života i nacionalnom? Zna se da to nije isto suštinski! A, vlasti nas kao čuvaju nacionalno, koje nam niko ne može oduzeti. No, umjesto da dižu kvalitet života, koji se može uzeti, oni ga uzimaju nama za svoj luksuz! Još samo da shvatimo!"
1073204237058875392,"Onako..»

Ništa nema ljepše nego kada su svi sretni. U BL SDS su presretni što su otišli, a u BL DNS izuzetno sretni što su došli. Kajmak naučili uzimati, što je teško zaboraviti. U BL SDS bilo u stilu ""para je para"", a ""riječ je riječ"" kod njih nikad nije važila!"
1072798258014142464,"Onako..»

B.B. N.Đ. D.N. D.D. i drugi / što je više takvih slučajeva to je širi konsenzus za učešće u Vlasti???"
