id,text
1074531300772638721,My life is in the hands of the maker of heaven and earth. #MyConfidence
1073354912510197760,"Uber- Hola
Yo- Hola 

*que no lo diga*
*que no lo diga*
*que no lo diga*

- ¿No eres de aquí, verdad?"
1072943008906141697,RT @brrandin: *sobs* https://t.co/nn85FLtyaB
1072675270958690305,"I’d just like to say that I am really enjoying Christmastime, this year. That is all. #MostWonderfulTimeOfTheYear"
1070515790208688128,@luisaalee https://t.co/FgjsZLRoIz
1068600159100002305,@jackevazquez https://t.co/fIhHShniOH
1068303289484288001,"@isaacelizalde Love, even Google knows who the Lord’s team is... #JesusStillLovesYou https://t.co/fzKAhYJ783"
1068219990921236480,"“You are peace to a restless soul
Peace when my thoughts wage war
Peace to the anxious heart
That's who You are...” 
#PEACE -HillsongY&amp;F"
1067575133752176642,@DanitzaBO Let’s do it!!!!! https://t.co/jmcXtL3YSx
1065863100048580608,Wow... There is so much to be thankful for. #HappyThanskgiving
