id,text
1072418104876118016,RT @RembauP131: Last day of Parliament sitting. Chilling with Marang folks https://t.co/JKnKrJDm90
1072417935673749504,"RT @khalidkarim: Najib got so much experience ""di-tahan""...we shud play him in defence against Vietnam tonight"
1068341224594010112,#NewProfilePic https://t.co/vFBhE3TJj7
1003443115343036417,RT @SarawakianTalk: Kamek janji kamek sikkan sia2 Kan kitak ❤️
1002050057770749952,RT @SarawakianTalk: Don't give up. She's worth it. https://t.co/t2Tyz1nIjo
1001039491795111936,RT @ohteenquotes: Time will not make you forget. It will make you grow and understand things.
1001039349176090624,"RT @_nabilarazali: If you have 1 wish to put on this wall, what would it be? ♥️ https://t.co/Vl24yqM3Zc"
1000385488606216192,"RT @mighvv: Yang dibubarkan
- JASA
- Majlis Professor Negara
- SPAD

Yang diturunkan
- Gaji menteri-menteri

Yang dikekalkan
- Harga minyak…"
1000296739717328897,RT @ohteenquotes: Don’t be afraid to fail. Be afraid not to try.
999241644946829312,RT @ohteenquotes: Tough situations build strong people.
