id,text
1074346115967913984,@LENTREGUCFOFICI Nun tien genij!
1039293430101204992,"Benedetto colui che ha imparato ad ammirare,ma non invidiare,a seguire ma non imitare,a lodare ma non lusingare,a condurre ma non manipolare. https://t.co/dP0dh16BpG"
1028922131449401345,"I miss you...🇬🇷🌅
#greece #corfu #kerkyra #pontikonisi #summer @ Hotel Pontikonissi https://t.co/03qapG1At6"
1027570305408147456,"🍀⚽🇬🇷
#greece #panathinaikos #football #corfu #kerkyra @ Glyfada https://t.co/yyHqAz3TYh"
1026516206222802944,"Here comes the sun😎🌅🇬🇷
#greece #corfu #palaiokastritsa @ Palaiokastritsa https://t.co/jvaJQGDCmX"
1026070679026905088,"Cartolina🌅🇬🇷
#greece #corfu #kerkyra #pontikonisi @ Pontikonisi, Kanoni https://t.co/tjzsN2Vg75"
1021359830823387136,"Rispetto per Özil!🙏🏻🇩🇪🇹🇷
#respect https://t.co/3Z9hqSWMx4"
1020647172335972352,"El Cristo Redentor de San Leucio😂👑
#NonAbbiamoArmiTour @ Belvedere Di San Leucio https://t.co/bCn8psfEY8"
1019861622184140800,"Il calcio non va mai in vacanza!⚽🤙🏻
#football #goalkeeper #captain @ Frocalcio San Luciano Accademy https://t.co/eXot4wck5U"
1017023277557014528,"Ancora tanti auguri cimmary_96 per questo traguardo strameritato!
110 volte (e lode) brava dottoressa!❤🎓
#graduation @ Università degli Studi di Napoli ""L'Orientale"" https://t.co/mM6NA5Lv7e"
