id,text
1068651909697994752,"RT @HWFbEXSRz767zQG: #قمه_لقاء_محمد_بن_سلمان
ياربي حرام والله تعبت وانااغرد حتى الريتويت تبخلون به ارجوكم يامسلمين ريتويت لوجه الله يمكن تو…"
1021472537384034306,@citizenaccount @Citizen_care طيب انا نسيت الافصاح عن السجل التجاري مع العلم انو تم شطب السجل التجاري وعملت تحديث ولم يصلني اي شي ما الحل؟
917867901645881351,"RT @dk_alsabah: آلحمٰدلله علىّ مآ ذهبَ وعلى مٰآ بقى ؛
وُعلى مآ سّيأتي؛ آلحمدُلله دآئمآ"
832580496966221824,@eyshelIy وداعا بدر اسعدتنا كثير #غير_حياتك honor8
822974184984899587,"RT @farisf9: مهما بلغت الأرقام 
مصيرها الكسر، يبقى ان 
تكون محظوظا بمن يكسرها..
على تشارلتون ان يكون 
سعيدا ويحتفل بالسير روني ⚽️ https://t…"
819462327066066944,"RT @reefalmosafer: إنتظرونا قريبا 

#ريف_المسافر https://t.co/d83Ij1H2pt"
819457087663173633,الله كريم
811094772597346304,@OLA_1_X ههههههههههههه
809285288132493314,أحبك ياالله لأنك مازلت تحميني وتحفظ لي ما أخاف فقده أحبك يا الله لأنك مازلت تُعطيني مازلت ترزقني احبك لأنك ورغم تقصيري مازلت ترحمني🕊🍃
809164696926486528,"RT @KhalafALdheaf: قدامك الدنيا .. و الافراح واجد
انا حزن خلّه ورى ظهرك و روح"
