id,text
1069211089710256128,"@Cliveofficial British judge that called it 113 a piece , Specsavers I'd say"
1068197322637627395,@Geaney15 Decaprio was disappointed to only have been the second best actor in the stadium last night 😜
1054060128901783554,@John290272 @DingleGAA In tralee John 👍👍
965204465132494848,@DingleGAA All the best john 👍
928737744280571909,"RT @OurAltrincham: Oh and if you need to lose some weight, I wholeheartedly recommend @cwpsharondunne for The Cambridge Diet #Altrincham"
925662099531059200,@gaelicplayers @Geaney15 @PwCIreland @officialgaa @DingleGAA @Kerry_Official Congrats Paul
889975435324469248,"I want to win 2️⃣tickets to see Kerry take on Galway this Sunday in Croke Park! #TheToughest
https://t.co/B407fwWoch"
749331880131096576,RT @DingleGAA: That's it full time score in Lewis Road in #KerryDiv1SFL Dr Crokes 1-13 to Dingle 1-13
748460674733477888,RT @DingleGAA: Best of luck Dingle U21s v Kerins O'Rahillys in Páirc an Ághasaigh Thurs @ 7pm in Co Champ. Beir bua agus beannacht! https:/…
724503530220982272,"RT @TheNotoriousMMA: Happy to announce that I am BACK on UFC 200! 
Shout out to @danawhite and @lorenzofertitta on getting this one done fo…"
