id,text
1074799138938728448,I love your song so much https://t.co/XyYsPnf0mm
1074798201402769409,Same https://t.co/GLhcMjigWc
1073870477578432513,@DAGamesOfficial Lmao
1073712713036005376,"@OMGitsAliA Rest in peace infinity blade
Fortnite please make it back from season 8"
1073524211258257408,@VanossGaming Hell yeah
1073524111790419968,"@VanossGaming true vanoss fan
Howdy doody 
Hoodini 
ALRIGHT
keep calm
And kep'er'goin
That's a toilet
Off season"
1073523445684527106,"Real vanossgaming fan is
.
.
.
.
.
.
.
.
Keep calm and kep er' going"
1073523132747603968,"AAAAAAALRIGHT I REACHED TO 
46 SUBCRIBER'S YAAAAHOOOOO https://t.co/xqgoKCQYpD"
1073522693633236993,"Uno animetion:AAAAAAAAAALRIGHT!!!!!
https://t.co/K25pxoKdOP"
1073522498828791808,"Brother's in arms by DAgames awesome song animeted by MEEEEE
https://t.co/tSuQ64u7uY"
