id,text
1074835510139514880,"@realDonaldTrump Do you intentionally try to piss people off?
I just find it funny sometimes."
1071074306933825536,RT @KryozGaming: Wait why am I not on the content creator of the year list
1070799787690221568,@KryozGaming A scary game or Red Dead 2
1070799424673202176,RT @OinXz_: @GoodGuyFitz https://t.co/B4Uz5HxZEC
1052587149999165440,RT @Zuckles: I have more brain cell than you
1052586894930915328,@KryozGaming homer
1047828099025588224,"@Misfits I think the way you guys do it is fine, it’s unique"
1042093188771663872,RT @ZucklesOfficial: If normies were a race I’d be racist as fuck
1042092767776792579,"@ZucklesOfficial can you stop

you artistic genius"
1042092509260861442,@TheSMii7Y except early morning shallow conversations cachaw
