id,text
1070837404100116480,@WarpDrives @TJaneBerry That’s the Dave I know!
1058425284976877568,@hcSKA_News Yes what can you tell us about Datsyuk?
1052608052204109825,"@THEEricaDay And money, don’t forget money"
1027015526923558914,RT @Areas_Abandoned: Church in Indonesia that looks suspiciously like a chicken https://t.co/kZdceImSSS
1026992102058741761,Figurehead for my kayak? Or is she trying to sink me? https://t.co/FLqtUV0wIP
1008094345185103877,RT @bkeisel99: Squad! https://t.co/Aa7yQIFO1C
1003083260178640896,"@steelers QB - Ben Rosthlisberger
RB - Jerome Bettis
WR - Hines Ward
TE - Eric Green
OL - Dermontti Dawson
DL - Mean Joe Greene 
LB - Greg Lloyd
DB - Troy Polamalu 
ST - Gary Anderson"
1001597512401276929,Uh oh https://t.co/C9w8f9tRI4
997253767467753472,"RT @Todd_Spence: Michael Keaton closed his commencement speech at Kent State with ""I'm Batman.""

And this is why Michael Keaton is the best…"
996646807928221697,RT @benjaminryan: Play it cool Rodney.......play it cool...... https://t.co/xfwQBtDVzJ
