id,text
1068884330804649984,Random thought of the day: @TheSims needs laundry mats. @SimGuruKate @JamesTurnerYT then the complete struggle of laundry day will be understood. #SaturdayMorningThoughts #thestruggleisreal
930845071532003329,"RT @KenTremendous: What kind of callous asshole cuts and pastes his cookie cutter condolences for mass shootings, and then forgets to chang…"
925799915170574336,"RT @jk_rowling: Fill her bucket with old candy left by her great-grandfather, then explain that she has more because she's smarter than all…"
924800734067154944,RT @Nick_Offerman: https://t.co/W5PX13FbCP
924634553058320384,@Sethrogen @allanmcatee Is that how you respect the flag?
922828722323034112,"RT @keithellison: Very Important. 
Open enrollment for ACA  begins November 1 until December 15th. Pump the message because, of course, Tru…"
904731509323595776,RT @Patriots: We think so. https://t.co/KAVI83wqGj
898566727482695681,RT @nbcsnl: Take it from Tina Fey and get yourself a sheet cake. #WeekendUpdate https://t.co/dsEm1VYQol
690768388503658496,@eduardlartgd6 Really enjoyed the song. I'm not a huge on the effect on the chorus but it still sounded good. I'm excited about your music!
690765984920023040,The nights are made for saying things you don't want to say tomorrow day. #DoIWannaKnow #ArcticMonkeys
