id,text
416880128418136064,"When God is in it, it lasts forever."
416875719747055616,I miss dem makids http://t.co/zszz3XdRk8
400825058341703680,Romans 8:5
400822748064542720,Goodness and mercy are pursuing me n my family. Good God
399621929751281664,"Pirates e berekile kudu, sorry ka tdy's loss. De gud thing ke gore der wil b less yada yada tomoro mornin"
399470743811284992,But now i am caught in God' s great grace nd abounding favor.
399459850356150272,"Hitting de road, 452km http://t.co/hDZCTLM9Wj"
382587166830100480,"Standing in the heat of de battle, its gonna be fireworks by Ps Theo."
382528420431003648,"Refuse to be intimidated by wat u her or c, walk by faith n nt by sight."
382361449437597696,"De whole week of soaking in de spirit here @ CFC Johannesburg celebration.  Great speakers, great messages."
