id,text
1074854112074850305,@realDonaldTrump Your presidency is a SCAM
1074853874866053121,@realDonaldTrump Just in time for Mitch McConnell’s family to get a Christmas check
1074798978812776448,@Wale @A_kamara6 😳😮
1073411585811644416,RT @SenSchumer: Over and over and over and over. He’s said it more than 20 times. President @realDonaldTrump wants to throw a temper tantru…
1073411485852991488,"RT @ashjones19979: #WPMOYChallenge Mark Ingram 
#WPMOYChallenge Mark Ingram 
#WPMOYChallenge Mark Ingram #WPMOYChallenge  Mark Ingram 
#WPM…"
1073411478181609472,RT @PFF: Michael Thomas is the NFL's highest graded receiver in the NFL so far this season. https://t.co/ROzozDoHEV
1073411233263599616,RT @drewbrees: Awesome night on the Polar Express with our #Saints families! https://t.co/yFbcc6TFO1
1073411208638816257,"RT @ldymieo: #WPMOYChallenge Mark Ingram
#WPMOYChallenge Mark Ingram
#WPMOYChallenge Mark Ingram
#WPMOYChallenge Mark Ingram
#WPMOYChalleng…"
1073411181803724801,"RT @FleurdeZee: Let’s support @MarkIngram22 RT to VOTE @Saints                  #WPMOYChallenge⁠ ⁠ Mark Ingram
#WPMOYChallenge⁠ ⁠ Mark Ingr…"
1073411161884905473,"RT @Saints: Every RT = 2 votes today! Retweet to #ProBowlVote!

@camjordan94 
@aokafor57 
@RankinsSheldon 
@DavisonTyeler 
@demario__davis…"
