id,text
1073754106240622593,"Odd flex....

But ok https://t.co/LeLlcbfWuP"
1073357069900754944,RT @Avxry: Fortnite sucks right now. RT if you agree.
1073030419019386881,"RT @NZXT: 1. how
2. many
3. retweets
4. free
5. PC
#2018In5Words"
1071212917658390528,@NZXT 472
1069585200764645377,thats my psn/epic
1069438501211521024,im JohnCena3322 https://t.co/WNcdM65IuZ
1069073457340665856,"RT @TeamBeyondnet: #Beyond100k November Giveaway!

Enter for a chance to win ASTRO &amp; Logitech Gear! 

😎 Tag Your Friends
❤️ RT &amp; Follow @Te…"
1068314912412315648,"RT @Kazlic: One like = One Gifted Skin 🎁 
Retweet = One Hundred Gifted Skins 🥳"
1066128550795841536,@dakotaz It free for everyone
1066094483559915520,@ITechRewards Done
