id,text
1075051044533620736,"yep, they don't even disguise their contempt anymore"
1075050970948796418,"RT @RobertTyreBute: ""Our precious Union of Equals...."" https://t.co/THFihIIblW"
1075043981418000388,RT @TheNewEuropean: The Anti Tax Avoidance Directive is one of the reasons why some Brexiteers are hell-bent on pushing for the hardest Bre…
1075038252439126021,@nickeardleybbc Union of Equals 🤣🤣🤣🤣
1075014350522458112,@1daneman @PickardJE no such thing as managed leave
1074975312239321088,RT @flossymacdoodle: #BollockstoBrexitBus comes to Glasgow today 10.30am George St nr City Chambers. RT and be there! @MadeleinaKay https:/…
1074973916643368960,@joeheenan At least they have dogs 😍
1074973416871075840,@DavidLammy Labour are complicit in this travesty.   If only you didn’t have Corbyn but higher calibre of politician leading Labour.
1074972216448704519,@RFewtrellUK @SmokinKones Absolutely! Time for these MPs to finally put the national interest ahead of party.  #stopbrexit
1074969048679636997,@JamesMelville Absolutely disgusting abuse of power.
