id,text
1074421911583629312,SO VERY HANDSOME🥰 https://t.co/T5fMYqOwQI
1037060961016983552,@MartinClunesTV ❤️🐾🐾👍🏻
841008734784634880,"Spot on
https://t.co/wg7Kn8tuiA https://t.co/3FgiTH4ygZ"
789038473269379072,What about a print? https://t.co/YvyyqoRHnP
789038421041901568,Dublin the City of 1000 pubs https://t.co/AW6KlsTVh6
789038202006929408,The long room trinity College https://t.co/5DVGCFQeum
789038035732144128,Wicklow lamb at the old mill tempel bar Dublin 😜😋 https://t.co/yQJwEgXQgO
745761324945317889,Fed koncert i parken iaften med denne herre🎼🎤💃🏼 https://t.co/I5EIl4X4k6
743853890689433600,@BethHart see you there / here❤️ looking forward to your show. Love your Sound 🎤🎼
736198824197271552,@BethHart see you in aarhus june 24.❤️
