id,text
1013807288526823424,"""Peer pressure is a good thing.""
-@Beatty_025"
1011416451411009536,"""I worked 6 out of the 8 days this week.""
-@Jludwig40"
996394867407409158,"""What if they made a phone that you could like, smell.""
-Tyler Ozborne"
994621010812039168,"""You have 3 balls, the third one is up there somewhere.""
-Tyler Davis"
992107963283398661,"RT @notsamgorman: ""I'm not emo anymore, I'm smart,""
-Greta Aldrich"
992107886754041856,"""I'm not emo anymore, I'm smart,""
-Greta Aldrich"
987540842599632896,"""I can't eat without socks on""
-Ivan Soto"
982683282054709248,"""Sometimes happyness is expensive""
-Ryan Williams"
974086184279400448,"""Jonas really did get swallowed by a whale I was there.""
-Caleb Straw"
972749084749713414,"""let's go scream at Mount Rushmore to start an avalanche""
-Jesse Ludwig"
