id,text
1074853256579440640,@WoolwichPigeon Felix sent me over...can we meet for tea??
1073341089266970624,@realDonaldTrump #pantsonfire https://t.co/r37SqfJ7A0
1073008035247874048,@realDonaldTrump @FLOTUS @seanhannity @FoxNews What about that #Cohen😉
1071865684026630144,@realDonaldTrump #leaking #showmethetapes https://t.co/CyN8suxlFG
1071846810979889152,@realDonaldTrump #yourameanonemrgrinch https://t.co/ocih86Jo4f
1071163668673507328,@realDonaldTrump Why are you so nasty??
1070839194493296640,@ViatorTravel need refund on Paris tour. #parisriots help!
1069242087311384579,@realDonaldTrump #getmeoutofhere https://t.co/31xPIgJ0Zh
1068254738007932928,@realDonaldTrump Poor Boo you will miss your Bae #torussiawithlove https://t.co/vqSl5GdsYO
1065422127963213824,@realDonaldTrump using crayons I assume😁 https://t.co/34Ei4SjoaG
