id,text
1075073557816840193,"Guys my friend Sam is streaming!!  Go say hi!!  She's shiny hunting Psyduck!
https://t.co/JseEflsxJA"
1075051162359996418,@Gadgetgirlkylie Thank you!! I will look into it!
1075045803062894595,Y’all ever just really want some BREAKFAST https://t.co/kEh5D8Xs9j
1075022412469727232,My sisters boyfriend gave me this bracelet for my birthday and I love it 😭😭😭😭😭 https://t.co/LuIWaFodbF
1074881953441243136,RT @sonicmega: KNUCKLES AND  KNUCKLES AND KNUCKLES AND KNUCKLES AND  KNUCKLES AND KNUCKLES AND  KNUCKLES AND  KNUCKLES AND KNUCKLES AND KNU…
1074881511848071169,Can you guys recommend some good gaming chairs? My back has been killing me since I’ve been streaming regularly 😭
1074872490114076672,RT @coastward: this is what a belmont main looks like https://t.co/tCvdWdYvxB
1074871961690533888,"@MYSTIC7 Your positive attitude and humor brings value to people, don’t worry about it! Your videos are amazing, and you’re an inspiration to the poketuber community :) just be you and you’ll continue to do well!"
1074871610992156672,@SatchellDrakes @PeanutButterGmr @JKCompletesIt Strongbow’s Rose is even better!
1074871493987844096,RT @Kiburuzu: PK haha no localization. https://t.co/f3IXlVZJuy
