id,text
1075076995736838144,@WomenforTrump Your prayers just got answered
1075076956457193472,@JackPosobiec Shiiiiiiiiiiit.
1075060868088500224,@american82girl they suspended my account from so reason. Shocker....
1075059037841051649,@fleawirkus @nprpolitics @DaviSusan You mean soul corrosion correction.
1075058900154617858,@ChrisCuomo @RawStory I’d worry about ya ratings Champ. You’re literally a bottom feeder.
1075058522524659712,@hobodeluxe @kathrynw5 Hillary cost Hillary votes. Nobody else.
1075058397882564608,@kaehvogel @kathrynw5 @KevinMKruse Lol
1075057878204104705,@JamesOKeefeIII @Project_Veritas Haha wow. Gestapo shit right here
1075056975673782273,@PalmerReport The only person fit for us reject it but it is you and your ilk. 🤣 you know Trump is going nowhere
1075056231205822464,@BillKristol Lol well ya ruined the WS. Congrats on the lack of self-awareness!
