id,text
1042486439198449664,"RT @Asmongold: An update

Read: https://t.co/15kSZ6kh7D"
1035672482575921152,"RT @Asmongold: Problems and Solutions Regarding Island Expeditions

Read: https://t.co/VPTQQtxc1i"
1028001095958687744,"RT @ByronBernstein: hey @kanyewest just watched your thing with jimmy
like you a lot more now
wanna come on my twitch podcast?"
1020046592202555392,RT @Asmongold: Am I able to do large-scale world PvP events without the risk of getting banned? I love the idea of it but I don't want to b…
985672374774149120,RT @MOONMOON_OW: too easy for the hackermans
968363038175883265,Get paid to take surveys! https://t.co/injE0yObuW
965060241908940800,RT @Forsen: Coolest Knight on Earth: https://t.co/InWWdat8It via @YouTube
961465087864193024,"RT @Asmongold: For every retweet this gets, Blizzard pls give me an Alpha key for me to give them out to my viewers on stream I love you pl…"
961045820761038848,RT @lol_tyler1: @DrDisRespect  https://t.co/HFp6zAL10h
960743421408305152,RT @Trainwreckstv: RT/Fav if Squad.
