id,text
1049376430172332033,RT @raffedillenback: #NewProfilePic https://t.co/5fNdkYnPnZ
735656428799709184,RT @sublime: Wednesday marks the 20th anniversary of Brad's passing. Share your Sublime stories and memories using #BradleyNowell https://t…
713998829163573249,Happy Sweet 16 @raffedillenback 💜you!!
713734340044328960,"RT @sublime: 21 years ago today, #Sublime was live on Groove Tube! https://t.co/WTYCM0DKO8"
713174709072998400,RT @sublime: At Club Zoo in Florida on this day in '95! https://t.co/BzwuuMFCi7
711681994338508805,"RT @sublime: First day of Spring... ""All scarlet begonias and a touch of the blues"" https://t.co/tlbexn3ZBW"
708957973247356928,"RT @sublime: 21 years ago today, the ""Date Rape"" video was filmed at Fern's in the LBC!

Photo by Josh Coffman https://t.co/pHZpQLFIZR"
705912868831625216,RT @sublime: Live in Vegas 20 years ago today! https://t.co/y2w5q0UN3J
705591764585988096,"RT @sublime: The boys hanging at the old SRH house in Pacific Beach...

Photo: Kevin Zinger https://t.co/WhGO3sAJa1"
705199553285373954,RT @SManifesto: TICKETS ON SALE NOW!!! https://t.co/u9vUalNrzp https://t.co/582DTp7LXp
