id,text
1074869730618605568,"@CNYcentral Oh, Boo Hoo"
987079479309807616,"@RealDonad_Trump Seriously? ALL you are is words words words, and those words rarely form an intelligent sentence."
985342874215747584,"@RealDonad_Trump You sir, are a liar. You know it,  and the entire states of America know it."
975563674390876161,"@RealDonad_Trump You are going to be imprisoned, buh bye"
975181961592492038,@Bossdude18 Haha I get that
971911674302222336,@GeorgeTakei #Idiot
971909278163447808,@teddyb_h2o Stay strong. We love u!
613464192566362112,I took this yesterday 😊 ❤ #red #impatiens #flowerbud  #opening #plants #growing #strong #wearegroot… https://t.co/FtB2FNFJgm
613462375585476609,I took this yesterday 😊 ❤  #red #impatiens #flowerbud #opening #plants #growing #strong #wearegroot… https://t.co/mdHHh9S44C
612787861910384641,#creepy #tree #silhouette #bluesky #blueskies #sunshine #sun #blackandwhite #contrast #contour… https://t.co/c8qudCWYkB
