id,text
1075136556510400513,@eumeassusto Diga to aqui 😍😍
1075135217315254272,"@eumeassusto Delícia então vamos juntar sua pele na minha q aí será uma pele só, economia"
1075134986121109505,"@f3lipepletsch Decepção total com essa mulher, bati varias pra ela"
1075133705532923905,@Gabzuski @SoutAmericMemes Meu Deus você é real?
1075133431057661958,@SoutAmericMemes @rod__serling Não velho não ficou não kkkk
1075132236821864449,@Vander_Son1 @f3lipepletsch @TurnRightBR @Rivotripa @marilizpj @loen2k18 @oiluiz @flaviogarage @iagoIV @edmilsonpapo10 @Pedro_henriqz @rod__serling @a_mandioquinha @porra__anninha To contando os dias..
1075131848207032321,"@flaviogarage Meu Deus oque virou essa mulher, bati varias pra ela"
1075131555323015175,@mariana_godoy @pannun Kkkkk nossa e mari pode? Se não fica difícil em
1075129540811341825,"@marilizpj Lula, Zé dirceu, Gleisi, boulos, manuzinha Dávila ...."
1075128801447809025,"@pannun @LeilaneNeubarth Cara você só vira notícia quando faz merda, primeiro foi atrás do boulos pra tirar foto e pedir autógrafo depois do debate, agora aparece pra falar desse velho estuprador"
