id,text
1075098163302682624,@Lin_Manuel Who ate my cookies!?🍪
1075086881493213184,I love ya’ll.
1075062910752157697,"Lemme see which song of mine I’m going to share today... ahhh yesss. 
☺️
♫  Perplejo -  Samuel Picazo. Listen @cdbaby https://t.co/l9Qe3hJMpG"
1074906053634973696,"@Pink This reminded me of Sonic the Hedgehog game series.  Hope you’re having a great night.  Hey please check out my music...
https://t.co/Y3czINt5lU"
1074902474585075712,"@ItsBMcKnight Hey Brian please check out my music Album!  Thanks for playing Back at One!👏.  You sound awesome as always!   Have a great night!
https://t.co/Y3czINt5lU"
1074900846897356800,RT @ItsBMcKnight: #brianized all request https://t.co/MDsXZJ7xTX
1074888928505737216,♫  Lessons -  Samuel Picazo. Listen @cdbaby https://t.co/t1vVY4igUj
1074886070313967616,"Hebrews 13:8 

8 Jesus Christ is the same yesterday, today, and forever."
1074871826264731649,@rainnwilson @radiohead I enjoyed it!  Thanks for sharing Rainn.
1074869256519467009,"RT @tailopez: Focus on the end goal of life - happiness. The other 3 major parts of life (health, wealth, love) are just a stepping stone t…"
