id,text
1003983223788134402,I got it
968261815028408325,Pantelligent strikes again.... yum. https://t.co/w1WromlF0b
956304619411595265,https://t.co/y0Reqt6YmZ
944375412351754241,RT @BillyIdol: Wishing safe &amp; happy holidays to all! Cheers - BFI https://t.co/Z4ZCmbIdij
928070183062818821,#WeAreCisco https://t.co/5fgsopWa2M
884074557451239424,Just cooked some Perfect Bacon with my @Pantelligent! https://t.co/0C4M0vy847 https://t.co/UFBK7tU3ID
864611337770594305,Just cooked some Steak with my @Pantelligent! https://t.co/0C4M0vy847 https://t.co/B6SCQbG9j1
833343387466072066,Just cooked some Perfect Bacon with my @Pantelligent! https://t.co/0C4M0vy847 https://t.co/xbdW7lGqTo
693155836550578180,Now on @ComingSoon_Tech ➜ Put the back side of your phone to work with @popSLATE https://t.co/pSvTiLCql8 https://t.co/z7xRyBfB41
448412628113571840,#ciscops14
