id,text
1074915626244661248,"RT @ehara_hiroyuki_: #これを見て15秒以内にRTすると金運アップ

#幸運
#ラッキー https://t.co/DhGJKPXGhP"
1074307988972695553,"@Butterfly_40 そんなに素敵な奴ではないです、私💦
娘にさせてあげられなかったぶん、息子にはやりたいことをさせてあげたいと思っているだけで…
福袋の中は、ウィンドブレーカー的なのとジャージ、それからスウェットがそれぞれ上下で入ってました。
スウェットは普段着にも使えそうです。"
1074280123531124741,"@maylily0430 ありがとう(≧∇≦)
今は外にでていて、まだ帰れない💦
帰ったら暖かくします😁"
1074276853597143040,"今日は寒かった〜
サッカーの練習見ていても、爪先が凍りつきそうなほど💦
息子も寒そうだったので、練習が終わってからスポーツショップでジャージ等が入った福袋を買いました。
出費は痛かったけど、これも息子のため。
来週からそれを着て、練習頑張っておくれ😁"
1073560336035246080,"@maylily0430 ですよね〜(≧∇≦)
昨年はサイボクでお肉とウインナーの詰め合わせを送りました。
サイボクのお肉、美味しいよね。
手作りハンバーグ、旦那のお気に入りです(o≧▽゜)o"
1073508435256176640,@maylily0430 相手は男子高校生(２年)だから、やっぱりお肉がいいかな？
1073505769599856640,"@maylily0430 うん。
知り合った時は娘も知り合いのお子さんも、まだ赤ちゃんだったけどね💦
それから毎年、林檎が送られてきます。
いつもこの時期にはケーキとかを送っているんだけど…今年は何にしようかな😃"
1073465915985907712,"娘の繋がりで知り合った方から、先ほど林檎🍎が届きました。
娘がいない今も娘の名前で送ってくださる心遣いに感謝です((o(^∇^)o))"
1073459499921338368,"@maylily0430 ありがとう(≧∇≦)
右３段階、左４段階と一気に上げたので…やっぱり慣れるのに時間がかかるよね。
じわじわ慣らしていきます😁"
1073192018384310273,"こんばんは。
体調不良を旦那(小学生から眼鏡人)に言ったら「眼鏡に慣れていないせいかも」といわれました。

新しい眼鏡、度をだいぶ上げていきなり視界が良くなったので、たしかに慣れていなかったのかもしれません💦
来週までには慣れておかないとね😁
ご心配をおかけしました🙇"
