id,text
1074847875962691584,RT @AJbelahodood: #بلا_حدود في لقاء حصري مع القيادي وعضو المجلس العسكري في المقاومة الجنوبية اليمنية والمعتقل في سجون #الإمارات لأكثر من عا…
1074820264314265607,@yunis123454 @sabqorg ٣٢ مليون بس مشالله المقيمين محسوبين 🤣بعد ما هد حيلهم بالرسوم اشك
1074808944898572288,@sabqorg انتو اول لازم تعرفون كم عدد شعبكم 🤣 https://t.co/l982ws9aEV
1074807941772046336,@Adhwan قالها الفاتح المريخي منت بقدها 🤣
1074805765729325056,@moltov80_ اول مره بتاريخ ولا بنت قالت شفيها حلو ؟ معلومه صاحبه هذي الجمله دايما تكون كوع
1074804390521901063,@AQ87x @Below19 اخر شي عمرك ١٦ سنه وطاقع اقول انطم علي اساس خبير في الجماعات الاسلاميه 😂
1074803736915140608,@N_A_S_9 @Below19 السعودي عايش دور خفيف الدم 😂😂 ويقيم بعد لااااااا هذا كثييييييير
1074801355603304451,"RT @ajmubasher: طفل يمني يطلب موعدًا مع الرئيس الفرنسي #ماكرون ويوجه له رسالة: ينبغي حقا أن "" ت ..ت.. و.. ق.. ف "" هذه الحروب https://t.co/v…"
1074794828339273728,"RT @alshaammari: عاد عيدك ياقطر وكل عيد وانتي حرّه
في قرارك،،في خيارك،،وفي الاراده
في عيدها تشوف كل الناس مسترّه
سرّها قايد اعز الوطن وللعُ…"
1074786243748204546,"RT @Below19: من خلال خبرتي البصيطه بالأعياد الوطنية 
اقولها بكل صدق وأمانه وشفافية 
افضل عيد وطني العيد القطري 
ولا قصورن باقي الأعياد 
  #…"
