id,text
1074890540544602112,@TCKulturTurizm @FiratPurtas Ama ol yani.. ol ol. Söyleme sadece. . Öyle ol işte.  Söylediği ol. Kimseye deme bunu.  Kendin öyle ol..
1074889781992177665,"RT @orsdarya: Mevlana suretten manaya hicret demektir
Mevlana tevhide ermek şirki ret demektir
""O dinler üstüdür"" diyenler sizedir sözüm
Ha…"
1074781199518892032,@MRBZDMN Umut inançlı bireylerin hayat kaynağıdır.  Evet bu güne kadar olmadı.. ama olacak.. hava bulutlu diye güneş doğmuyor değil. . Güneşli günleri göreceğiz. Hem de bir bahar mevsiminde. Belki daha erken.. Kim bilir....
1074759957172682752,"RT @Sushininanasi: Olağanüstü 🦋

Sabah sabah söylenebilecek başka bir söz bulamadım 😌 https://t.co/Z20X9ivcBR"
1074759774544281602,RT @vaybebune: 1977 yılından beslenme saati. O zamanın çocuklara bak hepsi 40 yaşındaki olgunluğa sahipmiş resmen. https://t.co/ZbFlt0eWP6
1074749995277012992,"Eskiden sokak ya da mahalle kültürü vardı.. o bitti. Sosyallik medya ortamında devam ediyor. 
Etrafında kimseyi bulamayınca yalnız olduğunu zannederek sallıyor vatandaş. 

Halbuki en kalabalık ortam sosyal medya ortamı.. 
Hemde söz uçar yazı kalır.."
1074748410408955904,"Bazılarında karakter sorunu yok. Ahlak sorunu var. 

Karakter kurallarına mecburen uyuyor da!.. Ahlaksızlıkta sınır tanımıyor.. 

Şu sosyal medyayı icat edenler birde ahlaki sınır koysalardı."
1074682878355800066,@fpolat69 Çok geç kaldınız bu tür sorulara cevap bulmak için . Çok geç
1074631938848235522,"Birçok şey gereksiz olabilir.. ama akıl kullanma zorunluluğu olan bir uzuvdur. 

Her an ve her durumda kullan!!!!!!"
1074631280917135361,RT @m_yosry2012: no dogs allowed 😅 https://t.co/MVj3hg0LAH
