id,text
1074061812625100800,RT @blainecapatch: CHILD DIES IN TRUMP CONCENTRATION CAMP https://t.co/H7wUXEiuKk
1073263530424430592,RT @gabby_smith1: I payed $367 for getting towed and Jacob Anderson pays $400 &amp; NO JAIL TIME for drugging &amp; raping a woman until she was un…
1071939529001467905,"RT @owenawhaley: Brock Turner raped somebody and served three months in prison. 

Cyntoia Brown was kidnapped, made a sex slave, fought for…"
1071150200922636288,RT @davidhogg111: The only people that are illegal in America are those that collude with foreign governments and the only aliens are those…
1069102893997842432,@devyn_ash I feel this so fukinnn hard
1067891509951778817,RT @AuschwitzMuseum: When we look at Auschwitz we see the end of the process. It's important to remember that the Holocaust actually did no…
1067826765865791488,"RT @brian2596: In memory of Stephen Hillenburg, here’s the iconic Bubble Bowl performance that we all loved as children and adults alike.…"
1066952390547570688,"RT @Ocasio2018: Asking to be considered a refugee &amp; applying for status isn’t a crime.

It wasn’t for Jewish families fleeing Germany.
It w…"
1066951543893708801,"RT @davidhogg111: Teachers have 0 problem giving detentions to young women who show their shoulders.

Meanwhile, young men give the Nazi sa…"
1066950448870055936,"RT @eugenegu: We have an outbreak of E. Coli O157:H7 which makes you vomit blood, have bloody diarrhea, and even pee blood as you lose your…"
