id,text
1075094513461280768,@ManiacMelvard Where and when? LOL
1074673550227722242,RT @NewKungFuKenny: White people can identify 500 breeds of dogs but will mix up 2 black co-workers
1073690946003333121,@endub_koby Quit saying that you're a great young man
1073387268394504193,"RT @TacomaFire: Tacoma firefighters raise $13,000 to brighten the holidays for nearly 150 children and their families. https://t.co/HR9GqfG…"
1073157404601139200,@Bruhhzz What a waste of cum. Let me swallow it
1071963631535845376,@bayleehadaway @AaronMann100 Yours. LOL
1071963450299973632,@bayleehadaway So
1071961521352134657,@bayleehadaway Ok
1071865879460106240,@Merrie_tess11 Always see him on the streets begging
1071799253486362625,Looks like Ian Avis https://t.co/ZQpz7e6az7
