id,text
723408864658345986,"GF BF VIDEO SONG | Sooraj Pancholi, Jacqueline Fernandez ft. Gurinder Se... https://t.co/rdMNczcGfG via @YouTube"
707129710178766848,Happy women's day.
556112976483074049,@BillGates superb.....
556112148972052480,hi......@babydollshweta
556102147217952768,hi dude how r u?@raghven11
399865231498690561,Sal
389818927632891904,Happy dashahara to all my friends
380611893607415808,@avivaindia
380609774653423616,"Smile today
Cry tommarrow
(Read everyday)"
374484301590822912,Hi frnds how r u.....
