id,text
1073716115052859392,"RT @zerowondering: It's time for a Christmas giveaway with Smash Ultimate! 2 Switch Ultimate bundles! Two winners! Here's how: 

🙌 Follow m…"
1068119543430750214,Curse my focus face lmao https://t.co/4CLJoYi9XX
1066767514288496640,RT @mrtickles123: Just received my pc from @MendITUK as it's still under warranty from @CCLcomputers and it's more broken now than it was w…
1042115683461545984,"check out my favorite youtuber and twitch streamer when it comes to guild wars!!! https://t.co/mr236yzejD @WoodenPotatoes 
hes streaming right now!! https://t.co/9ddoSEWyJW"
1042115353386668032,go get some leggos guys!! https://t.co/BAsEkw1eKy
1031605957728579584,@NVIDIAGeForce trying to preorder gtx 2080 ti in belgium but my billing address is not accepted. How do i spend money NVIDIA?
1022404308707495936,@serenasboard Looks like you just wanna start a foot modelling career. 🇬🇧
1021091276433879040,Rip Steve #coxcon https://t.co/zs02PFimxp
1020720251808419841,@Rougallo You got along with chinese wisdom dude too!
1020719822584336389,A box of candles in Telford #coxcon https://t.co/oPjRO5iXFt
