id,text
1022906795818401794,@mrsshellycorn @Kate_Chastain Mee too
1012735890085629952,"@PinxThinx @KathrynDennis @ShepRose 😂😂. Dying.
Love the Chemistry with the two of you!  Wishing you guys would just be a couple!   @shepRose KathrynDennis"
709359530388430848,@BrandiGlanville yes!!!
709359470430842880,RT @BrandiGlanville: Does anyone else like raw potatoes salt on them I grew up eating that (we were poor) but I'm grown-up and still eating…
695994074621480960,"RT @bradwsports: Very dominant performance from @TWrestling2k15 (Parkland) today, Very impressive -- aggressive, physical and focused."
599276350017515520,@ENews no contest TVD
499895871304372224,@BrandiGlanville
479778781356232704,@ENews @GiulianaRancic @DaytimeEmmys white is Gorgeous!
464109561347973120,"@ENews -SJP!!  Love her, no need to explain... Just look at her."
460057665889370112,RT @ThatsEarth: Summer Storm ~ Kansas http://t.co/fLNM0Jp0bj
