id,text
1075090085471756291,@OfficialPDPNig @atiku @benmurraybruce @officialKolaO @GovAyoFayose @bukolasaraki @akaebube @renoomokri @PeterObi @UcheSecondus @YakubDogara @GovWike its all a lie
1075081335956537344,@UnitedStandMUFC Zidane
1075081295443738626,"RT @UnitedStandMUFC: Zidane Manager in Next 48 hours? We're LIVE https://t.co/EpjfHzFIES

#MUFC https://t.co/J7dyd6Qlml"
1074930497732661248,@SPNigeria @nassnigeria @bukolasaraki @NGRPresident @MBuhari Who are those peoples
1074781268997480448,"RT @ProfOsinbajo: To a man, who has been exemplary in life and his commitment to Nigeria,

To a man who has a great sense of humour,

To a…"
1074781197618692097,RT @bukolasaraki: Happy Birthday to President Muhammadu Buhari and many happy returns.
1074780914775941120,@PremiumTimesng He is what you thinked
1074401596925198338,RT @lovesportradio: 🔴 Ex-Man United winger @gordonhill54 thinks that Jose Mourinho HAS to go &amp; that #MUFC have lost their identity under hi…
1074401302313078784,@BusbyBulletin @FootballJOE Hhh
1074401263398383617,"RT @BusbyBulletin: Thank you José, next 😂 been a tough time for our club but couldn’t help but laugh at this. (@FootballJOE) #MUFC https://…"
