id,text
1053370879470657537,"RT @arigameplays: Buenas tardes. Hoy tenemos sesión de fotos y andamos vestidos iguales ❤️

Te amo @JuanSGuarnizo https://t.co/VYDb7kSQlL"
1052621983538708480,"@arigameplays Que bella eres , muy hermosa"
1052299269804314626,"@arigameplays @EliotMedia @JuanSGuarnizo Que le vaya bien con mucho cuidado , se mes cuidan . Besos y saludos 💩💩🍍"
1052297791077326850,"RT @JuanSGuarnizo: Ya vamos de salida para CDMX, mañana íremos a los Eliot y nos quedaremos hasta el domingo por allá haciendo varias cosil…"
1051978515174891520,RT @NexxuzHD: Por fin me han arreglado Internet!!! XDD🥳🥳
1051978003012624384,"RT @arigameplays: Solo paso a presumirles a mi vato, bye https://t.co/qoeaMo2wfB"
1051817683371601920,RT @LRHScounselors: Thanks to @ulijosh and @singingforacaus for kicking off our #College Scavenger Hunt! Tweet your selfie with a college m…
1051658552249597952,RT @LeesvilleFB: SENIOR HILL!  💚💙  Many thanks to all of the volunteers who made it happen! https://t.co/ZZj2vMQsER
1050581758763298818,"RT @arigameplays: EN VIVO
CAPITANA MARVEL VS SPIDERMAN
RT Y TE MANDAMOS UN BESO ❤️❤️
https://t.co/0VLnSvWPzr https://t.co/y58CtPOjNX"
1050445474921140224,RT @JuanSGuarnizo: Tu mamá se come el shampoo.
