id,text
1074698566000615424,RT @SethAbramson: POLL QUESTION: Do you want me to write a sequel to Proof of Collusion focusing on Trump and his associates' pre-election…
1074628873445433350,RT @davidhogg111: You definitely should NOT rt this photo of @RickSantorum with Russian spy @Maria_Butina that Rick wants off the internet…
1074100566794665984,"RT @Ocasio2018: GOP: “She slipped on a word during a livestream! This tweet has a typo! She’s not fit for office!”

GOP: Prints poster of w…"
1073202760458354688,RT @PaulLeeTicks: So somebody did a Photoshop of Bernie as Mike Pence (and I don't know who) but it was TOTAL GOLD. So of course I had to t…
1072969604283199490,RT @_cingraham: Think of how much better the national discourse would be if new lawmakers received some basic statistics instruction as par…
1072291574288138241,Just an incredible abdication of duty. History will damn them all. https://t.co/lIhbawq53c
1071435984980578304,RT @TheOnion: Giuliani Insists Breaking The Law Not A Crime https://t.co/bdyM4PI0ka https://t.co/wvRUYERf5U
1071182145266311169,RT @MuellerSheWrote: https://t.co/8UCDo0btbZ
1071033415342964736,"RT @joshuamckerrow: 1. Today I did the annual story on holiday decorations at the Governor's residence. I've done it every year, for years.…"
1070533396978417664,RT @SoSofieFatale: A man can be an insufferable asshole 364 days a year &amp; the media will suggest on the 1 day he’s not that he’s turned a p…
