id,text
1075104268242292736,@jeanwyllys_real uiii a borboletinha ta querendo voar....uuuiiiii
1074970539901489158,@romerojuca Eu quero ver é o dia que o Sérgio moro vai te buscar em casa seu mafioso... Pode ir planejando uma fuga também igual a do terrorista.
1074833024695631872,"@gleisi Vou para de seguir essa louca... é muita loucura pra uma pessoa, tinha que ser internada... Xau"
1074673432921628677,@ManuelaDavila se vc é feminista pq ele nao pode ser machista? vai chupar prego ate virar parafuso que tu ganha mais
1074469305646018561,@nattmanoban @Alemirra_ @Dhcpd @eaimonalinda @ManuelaDavila Duvido.... Mostra o boletim...kkk
1074468557365395457,RT @steelers: VICTORY!!!!!!!! #HereWeGo https://t.co/0KTkJOtCOo
1074467005200257024,RT @steelers: YESSIRRRRRR! https://t.co/Wp6MoQJ1bW
1074466962665811971,RT @odiodobem2: Vamos combater racismo... sendo racistas 🤢🤮 https://t.co/Rs2AH3aFxr
1074427334755790849,"@nattmanoban @Alemirra_ @Dhcpd @eaimonalinda @ManuelaDavila Kkkkkkkkkk, nossa que resposta criativa"
1074356272609329152,"RT @jqteix: ""QUEM COM LACRE FERE
COM LACRE SERÁ FERIDO""

JOAQUIN TEIXEIRA https://t.co/ttusqEJFyi"
