id,text
1008016913845415936,RT @mikel_john_obi: Today is the day. Let’s get this #WorldCup off to a strong start 💪🏾🇳🇬 #SoarSuperEagles. Thank you all for your support…
1001047891639783424,@Kwese_NG @mikel_john_obi Nice one bro
994919095672954882,@mikel_john_obi @premierleague @ChelseaFC 8-0 against Wigan athletic
960767501364858882,@VictorMoses Burnley
960548191346323457,@VictorMoses Burnley
957987267355840513,@TonyBekederemo @Aubameyang7 @LacazetteAlex @Arsenal All yes
957987013239693314,RT @TonyBekederemo: Pierre-Emerick Aubameyang will become Arsenal‘s highest-paid player once he completes his move from Borussia Dortmund.…
957891807920164864,@rogerfederer Congrats Roger
957891711044390912,RT @rogerfederer: 🏆20. ❤️ https://t.co/WqUiSo3fd5
851154206857867265,"RT @Pontifex: Dear young friends, don’t be afraid to say “yes” to Jesus with all your heart, to respond generously and to follow him!"
