id,text
1071088855699374081,@tay_carranza Don’t forget about Dave and Fernando
1070859726857101312,@halie_struecker https://t.co/K2odj4ccU7
1070856880472379392,@halie_struecker Idiot
1070856870875840512,@halie_struecker Just checking
1070856600955568128,@halie_struecker Did you mean to type tie me twice
1069009725956767744,@halie_struecker @Chri5brandt It’s called stupidity
1069009668146700288,@tay_carranza @Chri5brandt Who’s taller now?
1069007984271998982,@halie_struecker @Chri5brandt Thought* who’s the idiot now?
1069007784400904193,@halie_struecker @Chri5brandt Idk bro. I got nothing to come back on. You win
1069007246594580480,@tay_carranza @Chri5brandt https://t.co/xFTLrQIp4n
