id,text
1062229991784501249,Concept is cool I just think you could have had a more professional doctor.. #InSessionLive
1055970665130426368,@Dodgers I love the dodgers but i hope grandal gets sub in very quickly
1053108894099099648,Hey @Dodgers How about you guys invite a comedian in the clubhouse before some of these games to lighten the mood a lil bit .. #JustaThought #GoDodgers @TheRealJHair @LAJohnHartung @realnedcolletti @Nomar5 @MagicJohnson @OrelHershiser @Joe_Davis @TommyLasorda
1052447633866932224,Great Win @Dodgers !!!
1024850810021150720,You guys better start f******  hustleing what kind of defense is that!!!..@Dodgers. #Goblue
1018050172423553024,"""Perfect balanced mixture of a blessing and a curse"" #DanLugo"
1009519720909791232,Happy Birthday to My Big Bro. Your the reason I try to be a better person each and everyday. Rest In Peace I Love you.
1002087325663281152,"""Just Pray"""
1001704784406220801,"RT @mimelinks: Drake: I only love my bed and my momma i’m sorry. 

Drake’s Son: https://t.co/g9fXvgzgSz"
998115429229867008,"What up fellas!..Im tuned in live out here from Baldwin Park ..Shout out to my primo @DjLuMan for putting me up on game, you guys be killing it! #BreakBeatsandRhymes @ReblsToTheGrain"
