id,text
1072946246078398464,"RT @sphexgames2: ⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀⠀⠀⠀retweet this in 11 seconds
⠀⠀          to receive good news
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀"
1071193195172761601,@WhiskersFumadoh @FortniteGame Xbox One
1071193113140568065,"RT @WhiskersFumadoh: @FortniteGame the first 800 retweets I will send you a code of Royale bomber + spray

RETWEET 🔁 and FOLLOW ME + 🔔
Comm…"
1071193052524544000,RT @WhiskersFumadoh: @FortniteGame IM BUYING THE NEW SEASON 7 BATTLEPASS FOR EVERYONE THAT RETWEETS AND FOLLOWS ME
1071192921720922114,"RT @FortniteGame: Lawful good or chaotic neutral? 
 
The new Waypoint Outfit and Aerosol Assassin Gear are available now! https://t.co/kutq…"
1071141671667159042,#FortniteBattleRoyale #XboxShare https://t.co/H2827XqDCa
1067079829764358144,"RT @BurgerKingUK: Seeing as so many people wanted our custom Xbox One S, we are actually going to give one away. All you need to do is retw…"
1064882019098865664,RT @FortniteGame: We've temporarily disabled Dynamite while we investigate an increase in client crashes. We'll update you once we have mor…
1063089461033086976,"RT @MrMuselk: The fact we managed to get @TheClickCrew channel to a million subscribers in less than 2 months still blows my mind.
MOAR GOL…"
1055157464134508545,"RT @MrMuselk: Introducing the BIGGEST 'Support a Creator' funded V-Bux Giveaway EVER!
There's One Million V-Bux to be won!
Big thanks to ev…"
