id,text
1074744401082105856,@blakeshelton @NBCTheVoice Can't wait to see what you and your boys have come with for tonight. Go Team Blake
1072671211652554752,RT @officialchevel: #VoiceSaveKennedy
1072671160276533249,RT @officialchevel: #VoiceSaveReagan
1072671137707032576,RT @officialchevel: #VoiceSaveMakenzie
1072671000473559041,#voicesavekennedy
1072670799172112388,#savekennedy
1072667162203037699,@blakeshelton Go Team Blake. Super proud of Kirk and Chris.
1072666678834675714,@officialchevel so proud of you
1072321282304327680,@officialchevel girl you amazing. I sure hope you win this season. Keep up.the hard work and I have been voting for you every week. We love you here in southeast Missouri
1072320244272848896,@KimKardashian I watched the season finale last night. What you did to help get Alice johnson out of prison was amazing. Love you
