id,text
1065556091675832320,@478de6772a174a1 هاهاهاهاهاها ف اي وقت هتلاقيني ع طول 😀 😂 😂 😂
1065555342921293824,@478de6772a174a1 موجود اهو 😂 😂 😂
1062711406359969792,@478de6772a174a1 ايوة بقي 😂 😂
994942095545774080,@Trezeguet74 يابني خليك ف الكويت انت ايه اللي جايبك هنا
994941993938751488,@Trezeguet74 عرفت 😭😭😭😭
994792972527992838,@Trezeguet74 الكلام دة بجد ؟؟؟
994572663623385088,@Capitanoo72 ي جدعان هو دة خلااااص اخررررر ماتش ليه ومش هيلعب تاني ؟؟؟؟؟
993343031834275841,صباحية مباركة ي عرررريس 😘😘😍😍💪💪💪 @ الهرم… https://t.co/upeTI8tckZ
990225581987041280,الفترة دي لا نفسيه ولا فلوس ولا احساس ولا عقل ولا نوم كل شيء خربان عندي.
990225581961867266,لم يبقي لي شخص معي 😥
