id,text
596505593143283712,@statevsRuga
491187359442948096,"I just moved up to level 55 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
490534389751640064,"I just moved up to level 54 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
490158090742792192,"I just moved up to level 53 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
490003704825667585,I won the 2nd Star in my McLaren 12C in #CSRRacing #RaceYourFriends. Download FREE! http://t.co/TFLOrYfWHa
489983423486767104,"Having fun playing #CSRRacing for Android, why not join me for FREE?
http://t.co/TFLOrYfWHa"
484111709649375232,"I just moved up to level 50 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
483709201684779008,"I just moved up to level 49 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
479022084161413120,"I just moved up to level 47 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
478510755730313216,"I just moved up to level 46 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/TFLOrYfWHa"
