id,text
1058365456460009472,@comebackkid4723  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365420271484929,@coinSlumit  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365314264637441,@mich_broadway  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365272212586497,@kinnaman_joe  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365234530922497,@WEARDanielg  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365192675958786,@sabidvelic  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365133720817666,@v_klais  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365084853063681,@88Ccosta  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058365040871530496,@TheVunderkind  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
1058364989856272385,@wankd_  hey I noticed we follow some of the same people in crypto. have you checked out Berminal? It’s the best app for crypto news and you get an airdrop for signing up. https://t.co/IV1xabTdVh
