id,text
1072854338949791747,@KenDilanianNBC I’ll bet his mother would have told him.
1072315002617585664,"@Maddow 9:19pm, you mean “Man bites Dog”, Right?"
1067438690023104512,https://t.co/gDqoUldG85 Das Lippenbekenntnis. Is it True Love or...
1061359086170710020,@NBCNews @MSNBC I worked the polls and saw the pride and hope in peoples’ eyes who were voting for the first time. glad you’re not letting them down without a fight!
1061357847760510976,@PeterAlexander pay no attention to the man behind the curtain.
1061357393332916224,@PeterAlexander You deserve better Peter... especially now that you have the job of protecting CNN! Please keep asking...
1061356806050643970,"RT @PeterAlexander: Trump claims election fraud, tells me, “There’s a lot of crooked stuff going on.”
But when I press him whether there’s…"
1061352266748346368,@PeterAlexander I
1060346301009813504,"@AnnaNetrebko My darling Anna, you’ve discovered one of the secrets of happiness. Thanks for sharing!"
1058358387774312448,"RT @MaddowBlog: We’re celebrating the launch of #BagMan, @Maddow’s first original podcast, by giving “money bag puzzles” to 25 lucky fans.…"
