id,text
1066437468411625472,gör para här ok? https://t.co/wUQ50iCTR6
1061979279322423296,RT @Fotbollsdamp: Gårdagens hjälte är ändå pekingsupportern som ansåg att han hittat ett asbra ställe att pissa på. @FotbollForFylla https:…
1058561822108909568,Väktarna på excet är horungar utan dess like. Man får inte ens spy ifred utan att de försöker kasta ut en. Ven fan tror de betalar deras lön om inte en illamående tjomme som måste påbörja en helt ny fylla?
1056085953440346112,ångrar beslutet att fötts till människa
1043426455059877888,@Hackspetten031 @madnel Så jävla sugen!
1042841663276810241,Hur länge kan man twittra innan man har tweetat?
1040702816271122433,RT @RidiculousDak: No matter how many times I watch this it's never not funny https://t.co/wsu7p77NCC
1040702124101914627,@Kanvy2D Get well fam!
1027828151219630080,"RT @JordanUhl: Holy shit, WalMart. https://t.co/FiMdAms0c3"
1024590338340659200,@Hackspetten031 Ge mig lyf
