id,text
984030260428754944,@haven Here until Friday.... already booked for next year.... hoping the wife is going to let me buy a caravan this week also. We come every year and love it here!
984025588422926337,The Nicholl’s are having great fun at @haven #DevonCliffs https://t.co/gzZqDTEYj4
765482411849318400,@Vistaprint customers and Myself are struggling to get onto my website - what's the issue please https://t.co/hWhmyih612
740288000681254913,RT @Glos_Police: Head over to our Facebook page to see some of our PCSOs taking on the #RunningMan challenge! https://t.co/arRSlwtEH6 https…
695508826787864576,@Vistaprint for how much longer will my website and emails be down? This is costing me money!!! #timetocancel!!
680158560756600833,"RT @GlosCityPolice: We're out &amp; about, all over #Gloucester this Christmas Eve helping to keep you safe. https://t.co/pXK9hvUays"
680158447803985920,RT @GlosCityPolice: @GlosCityPolice join the @LAPDHQ in remembering the tragic events and heroism of John McClane in 1988. #PrayForNakatomi…
584746922013028352,"RT @SaltashPCSO: ‼️FOLLOWERS, PLEASE HELP R/T‼️
Read below &amp; help me educate children on how far something can spread online #Police http:/…"
570528400110170112,@ollyofficial pls could we have a signed photo for our olly murs tribute charity night 27/3/15 for @macmillancancer ramjnicholl@yahoo.co.uk
567095755358605313,@ollyofficial on the 27th March 2015 I am planning a Olly Murs tribute act for Macmillan. Please could we have a signed photo for auction?
