id,text
1074748238316609537,@cnnturkrenk @cnnturk Kalecide daha iyi para var kim takar yazarı :)
1074746350296805376,@Angel565Angel65 Bunlarda kavgaları pistir vallahi kadınlar kızdılar mı acımasız oluyorlar
1074741530781474817,@Angel565Angel65 Böyle durumlara dışı olmak daha avantajlı :)
1074741321997389829,@mervecim_degmez Üzüm yaprağından yoksa lahanada sarmışsınız. Ben üzüm yaprağını tercih ederim. :)ama Diyarbakır’dayım ama yolun Diyarbakır’a düşerse bende sana çiğer kebap’nı ısmarlim:)
1072923659533205504,@Angel565Angel65 Seçmen gibi bunlar da :)
1071863172909424643,Kzım lise 3. Sınıfa gidiyor ve bana bugün baba artık okumak istemiyorum ben neden okuyorum okuyanlar ne yapıyor herkes boş geziyor. Ne yapacam bilemiyorum çok zor durumdayım.
1071725388651470848,@Angel565Angel65 Neye gitmiş TRT muhabiri ne işi var orda :)
1071725152705150976,@Angel565Angel65 😂😂😂 tam bir  komedi böyle askerlik var mı.bedelsiz yapan askerlere kamera görüntüsü bile yasak.vah anam vah :(
1071710519286001664,@ekonomiHTcom İçki pahalanınca artık çoğu evde rakı İmalatı başladı hele Hatay her ev tam bir imalathane.
1071710127395364866,@AtaParsTurk @orhanaydin6 Gariban her yerde garibandır.
