id,text
1075122101768609793,"@infobae Maestro dónde vivís?
Desde 2017 que vienen cerrando!"
1075116370034155520,"@VoteCerebro Maria Eugenia Virtual también esta cansada, pero de las entrevistas!
Igual se va de vacaciones! https://t.co/sPsNe85meE"
1075114397238996992,Dicen que duro mas los festejos del G20!
1075112868910112769,"RT @BocaJuniorsArab: العين تعلو على الهابط 👻⁦🅱️⁩

كفو يا عيال زايد 💜⁦🇦🇪⁩"
1075112334438350849,"No hay de Al Ain?
Es para un amigo que fue hasta allá y no consiguió! https://t.co/vVfkeJczfV"
1075111300437557250,"Al ain a la final!
Que raro que no empezaron a tirar piedras! https://t.co/rrFRxWaG4x"
1075110536130510848,"Ah bueno!
Ahora son todos expertos en fútbol!"
1075106028436508672,@SergioMassa teléfono! https://t.co/j3zPJvvO7l
1075079544829329409,"RT @RossiAgustinOk: Hace pocas horas la Corte le indicó al Congreso que resuelva sobre el índice de actualización de las jubilaciones.

Por…"
1075059871555444736,"RT @SuperSecretario: Al igual que @JuanCampanella, Federico @Andahazi y Jorge @fernandezdiazok a esta altura todos creimos que el Financial…"
