id,text
1033458049338421248,"RT @liberal_party: Unlike Andrew Scheer and the Conservatives, Justin Trudeau and the Liberal Party will always be proudly pro-choice. RT i…"
1017613670346575874,By gothttps://share.pubgameshowtime.com/showimage.php?image=test&amp;title=titlecontent&amp;descript=descriptcontent&amp;cdn=2 https://t.co/qUljHDSSke
1013256828367527936,"RT @JayOdjick: In today's @OttawaCitizen: Odjick: Canada needs to be more than an ideal if reconciliation is possible

https://t.co/Os96Tdr…"
1009110405187186688,"RT @akgtCanada: To honour National Indigenous Peoples Day this week, we're celebrating the Indigenous origins of 6 out of our 13 province a…"
1008087269398310912,"How Canada could use the 'Death Star' strategy against U.S. tariffs
https://t.co/CzevhEdGCh"
995102775372431361,"@rob_giggey Probably be cool if you just showed up, kids love that kind of guerilla parenting."
995088734633652226,@rob_giggey Waaa? 😲
978402293711192064,"RT @eugenegu: As a surgeon, I’ve operated on gunshot victims who’ve had bullets tear through their intestines, cut through their spinal cor…"
966748394654846976,"RT @BarackObama: Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless students s…"
958867409938481152,"RT @JustinTrudeau: At a time when talking about it was far more difficult, my mother Margaret was fearless in discussing her mental health…"
