id,text
1044725659094921219,I want a Galaxy note 9 because I haven’t had a android phone yet and I think it is a good phone to start with.I love the huge screen too.💯 https://t.co/y7iAHZZFTX
1044690567316353026,@insomniacgames hey i found this bug. That might be part of the new update. https://t.co/9rVGN8QCLd
1040084550565679104,#SpiderManPS4  a image i took on my ps4pro with the avengers tower in the background. @insomniacgames loving this game i cant wait for a sequel. https://t.co/FioEESdo2R
1019996567544221701,Hey @FortniteGame Can you guys allow me to take off my back bling now jeez.
993534285280931840,#FortniteBR https://t.co/nvpZTdZp4k
993532376230907909,@FortniteGame @Ninja @OMGitsAliA @EpicGames  When John Wick needs to get in style and fight crime. https://t.co/3HnAeCFRSm
990307493204119558,@maximilian_ Vegito Trailer is out!!!!
984842458931630082,"@FortniteGame just saying Thank you guys For the free back bling to everyone we Appreciate it, Keep up the great work on the game🙏🏼."
984462770312708098,@PlayOverwatch It may be time for a New tracer skin 🙌🏼
966863521119162369,@BandaiNamcoUS Hey why when i Try to join my Friends ring match in DBF it says no rooms found when is this going to be fixed !
