id,text
1073699832722874368,@TasteOfCountry It would definitely be @ChrisYoungMusic
1073699664015360001,@_TylerDean Cuz some ppl get butt hurt...it was completely fine
1073369062187646976,@CheyenneFarve 🤣
1073368589124673538,@CheyenneFarve Haha I'm sorry honey
1073367865305243648,@CheyenneFarve Hmm that's not what the Ferris State thing said ... unless I didn't see that one
1073367180316737536,@CheyenneFarve I thought you knew...it wasn't Free though
1071930355060477953,@CheyenneFarve Don't stress it baby girl love you and miss you and you got this 💕
1070143192446763008,@CheyenneFarve Love you bunches 💕
1069337177778208768,"@CheyenneFarve @ColIegeStudent Your strong baby girl! It may be hard now but look at the reward to follow 💕""Miss Cheyenne""❤️❤️"
1069336481045590016,@ColIegeStudent @CheyenneFarve Door is always open ❤️
