id,text
1073751483336712193,@SachinPilot @RahulGandhi @ashokgehlot Great
1072029213115408385,@noidapolice @Uppolice @dgpup @adgzonemeerut @igrangemeerut @tomarajay1991 @ajay85ldh @upcoprahul @IPS_Association @dr_maheshsharma @DhirendraGBN @ghaziabadpolice Great
1071330090313703426,@up100 @Uppolice @noidapolice To Good rampal bhai
1069780233732022273,@cocity3noida Nice profile sir
1069570424399265792,@RanveerOfficial @karanjohar @SonuSood @RSPicturez @RelianceEnt @DharmaMovies @TSeries @SimmbaTheFilm Awesome
1064406153814130695,@shwetabhdspcop @cocity3noida Nice pic sir
1044865974250418176,@NandiniPathak12 Awesome pic
1039723105168580609,Vry nice sir https://t.co/snsY80W9ci
1029275754456989696,#NewProfilePic https://t.co/lNUp7tZsdo
1029275746517143552,@ZeeNewsHindi Nice
