id,text
1072670738275016707,RT @adamlevine: RT to #VoiceSaveReagan
1072562394856083456,"RT @Cardinals: Give the Cardinals fan in your life the gift of Gold(schmidt)!

Ticket Packs &amp; Single-Game All-Inclusive Seats available her…"
1070503893367439360,RT @propsty0: fact https://t.co/Lg4YSTLEJy
1070503823624556544,"RT @Dbacks: For your dedication.
For your heart.
For everything.

Thank you, Goldy. https://t.co/gHEzENdqtI"
1070447262059429889,@Dbacks #americasfirstbaseman #fortheloveofthegame
1070447260427870213,"Paul Goldschmidt, in my opinion, is one of the most influential players in the game today. He may not always be in the headlines, but that’s because he is one of the most humble players in the game. I will miss watching him as a Dback, but I will never stop cheering him on."
1070134364946743296,RT @adamlevine: RT to #VoiceSaveReagan
1065373759354359808,Been a long time bro! Proud to see what you’ve been able to accomplish. Now just remember to never stop chasing your dream man! 👍🏼💪🏼 https://t.co/eCLh5HjpwT
1065223649769254913,RT @MLB: #ThankYouAB https://t.co/6Z0SknVgVS
1064917997138124803,"RT @Rangers: Thank you, Adrian. 

#ThankYouAB https://t.co/GbgMujtxri"
