id,text
1070925216694632449,@AlMasryAlYoum https://t.co/Uc14RI4R4i
1070299586978287616,https://t.co/RsTslBTAeu
1068255134277427212,https://t.co/y1Cys9F1oZ
1067818305552072704,اللهم صلي وسلم علي سيدنا وحبيبنا وشفيعنا ان شاء الله محمد بن عبدالله وعلي ال بيته الكرام و علي صحبه الاخيار وسلم تسليما كثيرا https://t.co/QAJARBtyHr
1067814734660022272,@AlaaMubarak_ @reememadeldin حضرتك محترم تحياتي
1064714719775334400,@SalwaMa09193348 والله حمار معندوش نظر
1064714135462703105,@SalwaMa09193348 ودارت الأيام عليك
1064713731391844352,@SalwaMa09193348 مقر ومنور
1064712558957998083,@SalwaMa09193348 يا سلام عليكي وعلي دماغك العالية
1064405895055056896,الحاج فرغلي شحاتة السوهاجي الاصيل https://t.co/PahQMWRT6o
