id,text
714375957092573184,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/YxEBZr8gsq"
711829981081395200,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/vdbxltk8HL"
709647362981888000,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/jjZpfXmby7"
708949828684742657,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/g3RaCgQkNT"
696214772727967744,2/6~2/16期間，怪物彈珠賀新年活動實施中！限定關卡「寶玉長眠的春節結界」除了BOSS「白骨精」外，還有新敵人「金蛋獸」＆「惡蛋獸」登場！快找家人一起攻略吧！ https://t.co/ebKDJarQoS
686248252480471040,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/QAXhbCat1U"
684888156244541441,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/CFmKD9DtnY"
684788719744749568,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/Q92SYYJSzT"
684242823474851840,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/1WWGbWWIN0"
683874792085180416,"おじモンをGETしてコンプリートを目指せ！ #おじモン
Android: https://t.co/fJrdHAzhPu
iOS: https://t.co/mcPt0ufBEg https://t.co/5vKt9PRWbW"
