id,text
1075134103786266625,@DavidLawTennis Because no one cares
1075108173374205953,"@crumpet_j @FLOTUS @realDonaldTrump @POTUS Merry Christmas to the greatest leader in the history of the modern world. And Merry Christmas to you, fellow crumpet"
1075107594816155649,@DavidLawTennis Pretty cringey way to try and attract a bird you bad nonce
1074785525670785029,#celebritydeletedtweets https://t.co/Mt91uqktCF
1074783958422958081,@gregjames Would massacre your bird's arse tbf
1074782905988194305,He's got an ego of a man twice his size. Cunt needs a good kicking https://t.co/zOSte6Xb4n
1074769270305972224,RT @crumpet_j: @CrumpetPJohnny The people that showed up to this creatures house should have thrown eggs at the cunt!!
1074769032979591168,@piersmorgan You look like a pile after it's been wrapped in elastic and fallen off
1074768732424163328,"Not sure if it's me or the Budweiser, but Mick Hucknall's looking pretty darn fit tonight #maryberryschristmasparty"
1074767787208380416,She should learn to respect her fans https://t.co/Je2AkPdV3S
