id,text
1074812365680599041,Que me diga que si que me diga que si
1074812255294971905,"RT @Mariano_Bondar: mi historia resumida en frases:

2015 = gracias por el espacio
2016 = me tocan el café y les corto la garcha
2017 = baj…"
1074490923583750144,"Estoy feliz porque lo quería y Si, hoy se dió. No puedo estar tan contenta y se que podré."
1074490812740894720,RT @Mariano_Bondar: todo siempre pasa por algo.
1074334676603539456,Fue muy buena
1074105414881607681,"RT @el25villero: ＰＲＩＭＥＲＯ　ＰＯＮＴＥ　ＤＥ　ＦＲＥＮＴＥ

ＤＥ　ＥＳＰＡＬＤＡ

ＤＡＴＥ　ＵＮ　ＰＡＳＯ

ＨＡＳＴＡ　ＢＡＪＯ

ＤＥ　ＥＳＰＡＬＤＡＡＡＡＡＡＡＡＡ"
1074105344077586434,Mui lindos
1073430515917692928,"RT @LuisitoComunica: YouTube Rewind es oficialmente el video con más dislikes en el mundo con más de 10 millones de manitas abajo.

Hemos r…"
1073429926408273920,RT @soythelmafardin: Ya hablé y fui escuchada. En eso avanza la justicia. Lo importante ahora es aprovechar el fenómeno q se generó para se…
1073429463218708480,"RT @NachoAugenuino: Hasta ahora soy fan de Letra, Jaze merecía llegar más lejos, Aczino me da miedo y dale wosito la concha de tu madre"
