id,text
1053750366007910401,"@chicobarney Chico, vc tá tomando algum remedinho, né?! Quem apoia o Maduro , “essa democracia” exemplar da América latina eh apoiada pelo PT/PSOL ..."
1053443122892623872,@valoreconomico  já foi um jornal sério ... parando de seguir em 3...2...1... #jornal vendido
1046570739229437953,"RT @micheleaonca: Em 30 minutos subimos ao 1° lugar dos Trending Topics no Brasil, e já subindo nos mundiais. A cada dia mostramos nossa fo…"
1046556208067432448,RT @FSanta: #JoãoNosDebates
1046555870220496896,#JoãoNosDebates
774707747480752128,100% true!!! https://t.co/a84DhHCcmz
755453916507013120,Muito orgulho deste time!!! https://t.co/xlCfOhairA
709895921493000193,@luciaguimaraes ai nos EUA tem o site do HULU
361667319308615682,"RT @Pontifex_pt: Agradeço profundamente a todos aqueles que trabalharam para o sucesso da JMJ e abraço vocês todos, os participantes. #Rio2…"
262615206260269056,"Vai SERRA, nao acredito em pesquisas compradas e/ou financiadas pela ""maquina....SP dara um exemplo ao Brasil!!"
